parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom
adjmix_rain:hru_84012:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84012:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84017:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84023:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84032:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84038:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84124:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84148:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_84165:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85114:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_1,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_10,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_11,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_12,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_2,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_3,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_4,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_5,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_6,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_7,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_8,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
adjmix_rain:hru_85116:mon_9,log,factor,1.0,0.6,1.4,pargp,1.0,0.0,1
carea_max:hru_84012,log,factor,0.2294,0.18352,0.27527999999999997,pargp,1.0,0.0,1
carea_max:hru_84017,log,factor,0.771654,0.6173232,0.9259847999999999,pargp,1.0,0.0,1
carea_max:hru_84023,log,factor,0.236148,0.1889184,0.2833776,pargp,1.0,0.0,1
carea_max:hru_84032,log,factor,0.653488,0.5227904,0.7841855999999999,pargp,1.0,0.0,1
carea_max:hru_84038,log,factor,0.171317,0.1370536,0.2055804,pargp,1.0,0.0,1
carea_max:hru_84124,log,factor,0.114285,0.091428,0.137142,pargp,1.0,0.0,1
carea_max:hru_84148,log,factor,0.14394900000000002,0.11515920000000002,0.17273880000000003,pargp,1.0,0.0,1
carea_max:hru_84165,log,factor,0.18310300000000002,0.1464824,0.21972360000000002,pargp,1.0,0.0,1
carea_max:hru_85114,log,factor,0.143847,0.1150776,0.1726164,pargp,1.0,0.0,1
carea_max:hru_85116,log,factor,0.17505600000000002,0.14004480000000002,0.2100672,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84012:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84017:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84023:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84032:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84038:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84124:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84148:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_84165:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_5,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_6,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_7,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_8,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85114:mon_9,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85116:mon_1,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85116:mon_10,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85116:mon_11,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85116:mon_12,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85116:mon_2,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85116:mon_3,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
cecn_coef:hru_85116:mon_4,log,factor,5.000000000000001,4.5,5.5,pargp,1.0,0.0,1
