obsnme,obsval,weight,obgnme
actet_mean_mon:6:84148,0.0901136249303817,30000.0,actet_mean_mon
actet_mean_mon:6:84165,0.0955227315425872,30000.0,actet_mean_mon
actet_mean_mon:6:85114,0.0922409072518348,30000.0,actet_mean_mon
actet_mean_mon:6:85116,0.0927545428276062,30000.0,actet_mean_mon
actet_mean_mon:7:84012,0.0611590892076492,30000.0,actet_mean_mon
actet_mean_mon:7:84017,0.0920590907335281,30000.0,actet_mean_mon
actet_mean_mon:7:84023,0.0652181804180145,30000.0,actet_mean_mon
actet_mean_mon:7:84032,0.090795449912548,30000.0,actet_mean_mon
actet_mean_mon:7:84038,0.102127268910408,30000.0,actet_mean_mon
actet_mean_mon:7:84124,0.0939363688230514,30000.0,actet_mean_mon
actet_mean_mon:7:84148,0.0958272814750671,30000.0,actet_mean_mon
actet_mean_mon:7:84165,0.0967136472463607,30000.0,actet_mean_mon
actet_mean_mon:7:85114,0.0994818210601806,30000.0,actet_mean_mon
actet_mean_mon:7:85116,0.0976772680878639,30000.0,actet_mean_mon
actet_mean_mon:8:84012,0.0519681833684444,30000.0,actet_mean_mon
actet_mean_mon:8:84017,0.0754045397043228,30000.0,actet_mean_mon
actet_mean_mon:8:84023,0.0548227280378341,30000.0,actet_mean_mon
actet_mean_mon:8:84032,0.0748363584280014,30000.0,actet_mean_mon
actet_mean_mon:8:84038,0.0802499949932098,30000.0,actet_mean_mon
actet_mean_mon:8:84124,0.0728227347135543,30000.0,actet_mean_mon
actet_mean_mon:8:84148,0.0741727277636528,30000.0,actet_mean_mon
actet_mean_mon:8:84165,0.0767590850591659,30000.0,actet_mean_mon
actet_mean_mon:8:85114,0.0731000006198883,30000.0,actet_mean_mon
actet_mean_mon:8:85116,0.0742136389017105,30000.0,actet_mean_mon
actet_mean_mon:9:84012,0.0364409089088439,30000.0,actet_mean_mon
actet_mean_mon:9:84017,0.0496818162500858,30000.0,actet_mean_mon
actet_mean_mon:9:84023,0.0384090915322303,30000.0,actet_mean_mon
actet_mean_mon:9:84032,0.0502863675355911,30000.0,actet_mean_mon
actet_mean_mon:9:84038,0.0550863668322563,30000.0,actet_mean_mon
actet_mean_mon:9:84124,0.0534454584121704,30000.0,actet_mean_mon
actet_mean_mon:9:84148,0.0564409121870994,30000.0,actet_mean_mon
actet_mean_mon:9:84165,0.0549954622983932,30000.0,actet_mean_mon
actet_mean_mon:9:85114,0.0563636347651481,30000.0,actet_mean_mon
actet_mean_mon:9:85116,0.0555545501410961,30000.0,actet_mean_mon
actet_mon:2000_10:84012,0.0196000002324581,7500.0,actet_mon
actet_mon:2000_10:84017,0.0395999997854232,7500.0,actet_mon
actet_mon:2000_10:84023,0.0228500012308359,7500.0,actet_mon
actet_mon:2000_10:84032,0.037550002336502,7500.0,actet_mon
actet_mon:2000_10:84038,0.0346500016748905,7500.0,actet_mon
actet_mon:2000_10:84124,0.0345000028610229,7500.0,actet_mon
actet_mon:2000_10:84148,0.0351999998092651,7500.0,actet_mon
actet_mon:2000_10:84165,0.0356499999761581,7500.0,actet_mon
actet_mon:2000_10:85114,0.031649999320507,7500.0,actet_mon
actet_mon:2000_10:85116,0.0344500020146369,7500.0,actet_mon
actet_mon:2000_11:84012,0.0172000005841255,7500.0,actet_mon
actet_mon:2000_11:84017,0.0176500007510185,7500.0,actet_mon
actet_mon:2000_11:84023,0.0185000002384185,7500.0,actet_mon
actet_mon:2000_11:84032,0.0186000000685453,7500.0,actet_mon
actet_mon:2000_11:84038,0.0194499995559453,7500.0,actet_mon
actet_mon:2000_11:84124,0.0155499996617436,7500.0,actet_mon
actet_mon:2000_11:84148,0.0167000014334917,7500.0,actet_mon
actet_mon:2000_11:84165,0.0168000012636184,7500.0,actet_mon
actet_mon:2000_11:85114,0.0169999990612268,7500.0,actet_mon
actet_mon:2000_11:85116,0.0175999999046325,7500.0,actet_mon
actet_mon:2000_12:84012,0.0132499998435378,7500.0,actet_mon
actet_mon:2000_12:84017,0.0119500001892447,7500.0,actet_mon
actet_mon:2000_12:84023,0.012249999679625,7500.0,actet_mon
actet_mon:2000_12:84032,0.0119500001892447,7500.0,actet_mon
actet_mon:2000_12:84038,0.0137000000104308,7500.0,actet_mon
actet_mon:2000_12:84124,0.0130000002682209,7500.0,actet_mon
actet_mon:2000_12:84148,0.0131000000983476,7500.0,actet_mon
actet_mon:2000_12:84165,0.012699999846518,7500.0,actet_mon
actet_mon:2000_12:85114,0.0128999995067715,7500.0,actet_mon
actet_mon:2000_12:85116,0.0128999995067715,7500.0,actet_mon
actet_mon:2000_1:84012,0.0127499997615814,7500.0,actet_mon
actet_mon:2000_1:84017,0.0122999995946884,7500.0,actet_mon
actet_mon:2000_1:84023,0.0129000004380941,7500.0,actet_mon
actet_mon:2000_1:84032,0.0116999996826052,7500.0,actet_mon
actet_mon:2000_1:84038,0.0138499997556209,7500.0,actet_mon
actet_mon:2000_1:84124,0.012699999846518,7500.0,actet_mon
actet_mon:2000_1:84148,0.0114500001072883,7500.0,actet_mon
actet_mon:2000_1:84165,0.0127500006929039,7500.0,actet_mon
actet_mon:2000_1:85114,0.0105999996885657,7500.0,actet_mon
actet_mon:2000_1:85116,0.0129500003531575,7500.0,actet_mon
actet_mon:2000_2:84012,0.0165500007569789,7500.0,actet_mon
actet_mon:2000_2:84017,0.0171000007539987,7500.0,actet_mon
actet_mon:2000_2:84023,0.0178999993950128,7500.0,actet_mon
actet_mon:2000_2:84032,0.0153000000864267,7500.0,actet_mon
actet_mon:2000_2:84038,0.0191500000655651,7500.0,actet_mon
actet_mon:2000_2:84124,0.0194999985396862,7500.0,actet_mon
actet_mon:2000_2:84148,0.0170499999076128,7500.0,actet_mon
actet_mon:2000_2:84165,0.0185000002384185,7500.0,actet_mon
actet_mon:2000_2:85114,0.0139500005170702,7500.0,actet_mon
actet_mon:2000_2:85116,0.0183499995619058,7500.0,actet_mon
actet_mon:2000_3:84012,0.0320499986410141,7500.0,actet_mon
actet_mon:2000_3:84017,0.0277500003576278,7500.0,actet_mon
actet_mon:2000_3:84023,0.0275499988347291,7500.0,actet_mon
actet_mon:2000_3:84032,0.025399999693036,7500.0,actet_mon
actet_mon:2000_3:84038,0.0283499993383884,7500.0,actet_mon
actet_mon:2000_3:84124,0.0296999998390674,7500.0,actet_mon
actet_mon:2000_3:84148,0.0255000013858079,7500.0,actet_mon
actet_mon:2000_3:84165,0.026750000193715,7500.0,actet_mon
actet_mon:2000_3:85114,0.0209999997168779,7500.0,actet_mon
actet_mon:2000_3:85116,0.0280999988317489,7500.0,actet_mon
actet_mon:2000_4:84012,0.0753000006079673,7500.0,actet_mon
actet_mon:2000_4:84017,0.0777499973773956,7500.0,actet_mon
actet_mon:2000_4:84023,0.0716499984264373,7500.0,actet_mon
actet_mon:2000_4:84032,0.0761500000953674,7500.0,actet_mon
actet_mon:2000_4:84038,0.0802999958395958,7500.0,actet_mon
actet_mon:2000_4:84124,0.0709999948740005,7500.0,actet_mon
actet_mon:2000_4:84148,0.062399998307228,7500.0,actet_mon
actet_mon:2000_4:84165,0.0654499977827072,7500.0,actet_mon
actet_mon:2000_4:85114,0.0526000000536441,7500.0,actet_mon
actet_mon:2000_4:85116,0.062950000166893,7500.0,actet_mon
actet_mon:2000_5:84012,0.0839000046253204,7500.0,actet_mon
actet_mon:2000_5:84017,0.0823500007390976,7500.0,actet_mon
actet_mon:2000_5:84023,0.0830999985337257,7500.0,actet_mon
actet_mon:2000_5:84032,0.0834500044584274,7500.0,actet_mon
actet_mon:2000_5:84038,0.0919499993324279,7500.0,actet_mon
actet_mon:2000_5:84124,0.0835999995470047,7500.0,actet_mon
actet_mon:2000_5:84148,0.0796499997377395,7500.0,actet_mon
actet_mon:2000_5:84165,0.0773999989032745,7500.0,actet_mon
actet_mon:2000_5:85114,0.0791999995708465,7500.0,actet_mon
actet_mon:2000_5:85116,0.0750999972224235,7500.0,actet_mon
actet_mon:2000_6:84012,0.072950005531311,7500.0,actet_mon
actet_mon:2000_6:84017,0.1024499982595443,7500.0,actet_mon
actet_mon:2000_6:84023,0.1063999980688095,7500.0,actet_mon
actet_mon:2000_6:84032,0.1030500009655952,7500.0,actet_mon
actet_mon:2000_6:84038,0.1200000047683715,7500.0,actet_mon
actet_mon:2000_6:84124,0.0945499986410141,7500.0,actet_mon
actet_mon:2000_6:84148,0.0891500040888786,7500.0,actet_mon
actet_mon:2000_6:84165,0.0920000001788139,7500.0,actet_mon
actet_mon:2000_6:85114,0.0921500027179718,7500.0,actet_mon
actet_mon:2000_6:85116,0.0895500034093856,7500.0,actet_mon
actet_mon:2000_7:84012,0.0581999979913234,7500.0,actet_mon
actet_mon:2000_7:84017,0.0939000025391578,7500.0,actet_mon
actet_mon:2000_7:84023,0.0586500018835067,7500.0,actet_mon
actet_mon:2000_7:84032,0.0894500017166137,7500.0,actet_mon
actet_mon:2000_7:84038,0.1008500009775161,7500.0,actet_mon
actet_mon:2000_7:84124,0.0929000005125999,7500.0,actet_mon
actet_mon:2000_7:84148,0.1019999980926513,7500.0,actet_mon
actet_mon:2000_7:84165,0.0970000028610229,7500.0,actet_mon
actet_mon:2000_7:85114,0.1083500012755394,7500.0,actet_mon
actet_mon:2000_7:85116,0.1067000031471252,7500.0,actet_mon
actet_mon:2000_8:84012,0.0577500015497207,7500.0,actet_mon
actet_mon:2000_8:84017,0.0699499994516372,7500.0,actet_mon
actet_mon:2000_8:84023,0.0614000000059604,7500.0,actet_mon
actet_mon:2000_8:84032,0.0733499974012374,7500.0,actet_mon
actet_mon:2000_8:84038,0.0839999988675117,7500.0,actet_mon
actet_mon:2000_8:84124,0.0723500028252601,7500.0,actet_mon
actet_mon:2000_8:84148,0.0785499960184097,7500.0,actet_mon
actet_mon:2000_8:84165,0.0753000006079673,7500.0,actet_mon
actet_mon:2000_8:85114,0.0764499977231025,7500.0,actet_mon
actet_mon:2000_8:85116,0.0781499966979026,7500.0,actet_mon
actet_mon:2000_9:84012,0.0300499983131885,7500.0,actet_mon
actet_mon:2000_9:84017,0.0423500016331672,7500.0,actet_mon
actet_mon:2000_9:84023,0.0322000011801719,7500.0,actet_mon
actet_mon:2000_9:84032,0.0429500006139278,7500.0,actet_mon
actet_mon:2000_9:84038,0.0504499971866607,7500.0,actet_mon
actet_mon:2000_9:84124,0.0469999983906745,7500.0,actet_mon
actet_mon:2000_9:84148,0.0508999973535537,7500.0,actet_mon
actet_mon:2000_9:84165,0.0461999997496604,7500.0,actet_mon
actet_mon:2000_9:85114,0.0499499998986721,7500.0,actet_mon
actet_mon:2000_9:85116,0.0488499999046325,7500.0,actet_mon
actet_mon:2001_10:84012,0.0263499990105628,7500.0,actet_mon
actet_mon:2001_10:84017,0.0398500002920627,7500.0,actet_mon
actet_mon:2001_10:84023,0.0333999991416931,7500.0,actet_mon
actet_mon:2001_10:84032,0.0386000014841556,7500.0,actet_mon
actet_mon:2001_10:84038,0.0381000004708766,7500.0,actet_mon
actet_mon:2001_10:84124,0.0438000001013278,7500.0,actet_mon
actet_mon:2001_10:84148,0.0446499995887279,7500.0,actet_mon
actet_mon:2001_10:84165,0.045949999243021,7500.0,actet_mon
actet_mon:2001_10:85114,0.0443999990820884,7500.0,actet_mon
actet_mon:2001_10:85116,0.0479499995708465,7500.0,actet_mon
actet_mon:2001_11:84012,0.0283000003546476,7500.0,actet_mon
actet_mon:2001_11:84017,0.0263999998569488,7500.0,actet_mon
actet_mon:2001_11:84023,0.0280500017106533,7500.0,actet_mon
actet_mon:2001_11:84032,0.0273000001907348,7500.0,actet_mon
actet_mon:2001_11:84038,0.0275999996811151,7500.0,actet_mon
actet_mon:2001_11:84124,0.0342999994754791,7500.0,actet_mon
actet_mon:2001_11:84148,0.0346999987959861,7500.0,actet_mon
actet_mon:2001_11:84165,0.0286499988287687,7500.0,actet_mon
actet_mon:2001_11:85114,0.0298000015318393,7500.0,actet_mon
actet_mon:2001_11:85116,0.0284000001847744,7500.0,actet_mon
actet_mon:2001_12:84012,0.0137000000104308,7500.0,actet_mon
actet_mon:2001_12:84017,0.0129500003531575,7500.0,actet_mon
actet_mon:2001_12:84023,0.0132499998435378,7500.0,actet_mon
actet_mon:2001_12:84032,0.0121499998494982,7500.0,actet_mon
actet_mon:2001_12:84038,0.0139000006020069,7500.0,actet_mon
actet_mon:2001_12:84124,0.0125500001013278,7500.0,actet_mon
actet_mon:2001_12:84148,0.0124499993398785,7500.0,actet_mon
actet_mon:2001_12:84165,0.0120500000193715,7500.0,actet_mon
actet_mon:2001_12:85114,0.0111499996855854,7500.0,actet_mon
actet_mon:2001_12:85116,0.0120999999344348,7500.0,actet_mon
actet_mon:2001_1:84012,0.0125500001013278,7500.0,actet_mon
actet_mon:2001_1:84017,0.0117499995976686,7500.0,actet_mon
actet_mon:2001_1:84023,0.0126000000163912,7500.0,actet_mon
actet_mon:2001_1:84032,0.0116999996826052,7500.0,actet_mon
actet_mon:2001_1:84038,0.0141000002622604,7500.0,actet_mon
actet_mon:2001_1:84124,0.0127999996766448,7500.0,actet_mon
actet_mon:2001_1:84148,0.0118499994277954,7500.0,actet_mon
actet_mon:2001_1:84165,0.0127999996766448,7500.0,actet_mon
actet_mon:2001_1:85114,0.0108500001952052,7500.0,actet_mon
actet_mon:2001_1:85116,0.0131999999284744,7500.0,actet_mon
actet_mon:2001_2:84012,0.0141500001773238,7500.0,actet_mon
actet_mon:2001_2:84017,0.0137000000104308,7500.0,actet_mon
actet_mon:2001_2:84023,0.0154999997466802,7500.0,actet_mon
actet_mon:2001_2:84032,0.0127499997615814,7500.0,actet_mon
actet_mon:2001_2:84038,0.0165999997407197,7500.0,actet_mon
actet_mon:2001_2:84124,0.0168000012636184,7500.0,actet_mon
actet_mon:2001_2:84148,0.0140499994158744,7500.0,actet_mon
actet_mon:2001_2:84165,0.0156999994069337,7500.0,actet_mon
actet_mon:2001_2:85114,0.0111499996855854,7500.0,actet_mon
actet_mon:2001_2:85116,0.0153999999165534,7500.0,actet_mon
actet_mon:2001_3:84012,0.0338499993085861,7500.0,actet_mon
actet_mon:2001_3:84017,0.0238000005483627,7500.0,actet_mon
actet_mon:2001_3:84023,0.0307500008493661,7500.0,actet_mon
actet_mon:2001_3:84032,0.023199999704957,7500.0,actet_mon
actet_mon:2001_3:84038,0.0274000000208616,7500.0,actet_mon
actet_mon:2001_3:84124,0.0278000012040138,7500.0,actet_mon
actet_mon:2001_3:84148,0.0229500010609626,7500.0,actet_mon
actet_mon:2001_3:84165,0.0253499988466501,7500.0,actet_mon
