obsnme,obsval,weight,obgnme,lower_bound,upper_bound
actet_mean_mon:4:84038,0.0762227326631546,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:4:84124,0.0630181804299354,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:4:84148,0.0547318197786808,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:4:84165,0.0575636327266693,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:4:85114,0.0459772683680057,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:4:85116,0.0542090907692909,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84012,0.0778500065207481,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84017,0.0847863554954528,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84023,0.0835318267345428,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84032,0.0876045525074005,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84038,0.0921409130096435,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84124,0.0838045477867126,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84148,0.079359084367752,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:84165,0.0782181844115257,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:85114,0.0789181739091873,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:5:85116,0.0771636366844177,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84012,0.0721227303147316,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84017,0.0983045399188995,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84023,0.0836590826511383,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84032,0.0978636369109153,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84038,0.1115045547485351,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84124,0.092749997973442,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84148,0.0901136249303817,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:84165,0.0955227315425872,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:85114,0.0922409072518348,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:6:85116,0.0927545428276062,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84012,0.0611590892076492,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84017,0.0920590907335281,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84023,0.0652181804180145,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84032,0.090795449912548,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84038,0.102127268910408,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84124,0.0939363688230514,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84148,0.0958272814750671,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:84165,0.0967136472463607,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:85114,0.0994818210601806,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:7:85116,0.0976772680878639,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84012,0.0519681833684444,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84017,0.0754045397043228,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84023,0.0548227280378341,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84032,0.0748363584280014,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84038,0.0802499949932098,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84124,0.0728227347135543,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84148,0.0741727277636528,34793.49121774129,actet_mean_mon,0,100000000000.0
actet_mean_mon:8:84165,0.0767590850591659,34793.49121774129,actet_mean_mon,0,100000000000.0
